toi,tid,tfopwg_disp,rastr,ra,decstr,dec,st_pmra,st_pmraerr1,st_pmraerr2,st_pmralim,st_pmdec,st_pmdecerr1,st_pmdecerr2,st_pmdeclim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_tmag,st_tmagerr1,st_tmagerr2,st_tmaglim,st_dist,st_disterr1,st_disterr2,st_distlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_rad,st_raderr1,st_raderr2,st_radlim,toi_created,rowupdate
2300.02,280031353,PC,19h49m39.88s,297.416187,+68d53m00.07s,68.883354,17.488,0.038,-0.038,0,2.292,0.046,-0.046,0,2459646.962,0.002523,-0.002523,0,15.4432661,0.0000247,-0.0000247,0,3.8493075,0.0867687,-0.0867687,0,4652.019556,88.02826,-88.02826,0,5.7063938,0.3255614,-0.3255614,0,38.3407878,,,,634.6510571,,,,11.8231,0.006,-0.006,0,221.705,1.0125,-1.0125,0,5607,158.447,-158.447,0,4.63178,0.076559,-0.076559,0,0.796892,0.0411759,-0.0411759,0,9/30/2020 15:49,7/15/2023 12:02
2300.03,280031353,PC,19h49m39.88s,297.416187,+68d53m00.07s,68.883354,17.488,0.038,-0.038,0,2.292,0.046,-0.046,0,2459398.74,0.006753,-0.006753,0,,,,0,17.0708835,0.4397566,-0.4397566,0,8209.28754,478.37537,-478.37537,0,7.6712645,0.4799744,-0.4799744,0,0.245228,,,,179.478432,,,,11.8231,0.006,-0.006,0,221.705,1.0125,-1.0125,0,5607,158.447,-158.447,0,4.63178,0.076559,-0.076559,0,0.796892,0.0411759,-0.0411759,0,3/2/2023 20:06,3/3/2023 12:03
2301.01,283829553,PC,15h14m16.47s,228.568622,+51d28m07.85s,51.468846,32.01,0.038,-0.038,0,23.683,0.046,-0.046,0,2460414.841,0.006709,-0.006709,0,6.0541622,0.0000485,-0.0000485,0,4.592,1.494,-1.494,0,255,373.18,-373.18,0,4.01623,1.47308,-1.47308,0,11299.9,,,,2872,,,,8.36872,0.006,-0.006,0,120.221,0.3445,-0.3445,0,6187,123.849,-123.849,0,4.09624,0.0843994,-0.0843994,0,1.61,0.07,-0.07,0,9/30/2020 15:49,11/15/2024 16:02
2302.01,144000801,APC,22h25m07s,336.279186,-52d32m12.02s,-52.536671,48.908,0.059,-0.059,0,-11.493,0.076,-0.076,0,2459063.141,0.00106,-0.00106,0,1.3103832,0.0001108,-0.0001108,0,1.6240216,0.0862775,-0.0862775,0,3904.282474,157.48242,-157.48242,0,9.8603222,9.513131,-9.513131,0,1134.277973,,,,1480.129192,,,,11.0075,0.006,-0.006,0,171.909,1.2375,-1.2375,0,5228,123.146,-123.146,0,4.45189,0.0823391,-0.0823391,0,0.928507,0.0527638,-0.0527638,0,10/1/2020 13:35,10/29/2021 12:59
2303.01,197959526,FP,23h13m11.21s,348.296702,-53d49m58.13s,-53.832813,18.654,0.042,-0.042,0,-1.63,0.046,-0.046,0,2459061.885,0.001705,-0.001705,0,0.7196291,0.0001024,-0.0001024,0,1.474746,0.2661613,-0.2661613,0,4971.14566,440.55856,-440.55856,0,12.2917419,2.532109,-2.532109,0,14474.6699,,,,2797.511733,,,,11.8199,0.006,-0.006,0,643.988,15.055,-15.055,0,6454,6516.7,-6516.7,0,4.3,2,-2,0,1.69458,0.083216,-0.083216,0,10/1/2020 13:35,10/29/2021 12:59
2304.01,70420766,PC,22h37m44.7s,339.436261,-30d36m29.82s,-30.608282,49.44,0.076,-0.076,0,3.304,0.066,-0.066,0,2459063.308,0.002037,-0.002037,0,9.4070515,0.0000333,-0.0000333,0,2.6715391,0.6936579,-0.6936579,0,967.7626685,78.820854,-78.820854,0,3.9938238,2.1361701,-2.1361701,0,237.6137635,,,,1001.354025,,,,10.2356,0.006,-0.006,0,218.091,1.722,-1.722,0,6223,125.865,-125.865,0,4.33525,0.0830904,-0.0830904,0,1.2331001,0.0558367,-0.0558367,0,10/1/2020 13:35,4/25/2024 10:08
2305.01,232079930,APC,01h58m25.93s,29.608056,-66d20m20.96s,-66.339155,19.051,0.043,-0.043,0,10.014,0.036,-0.036,0,2459062.29,0.001672,-0.001672,0,0.918902,0.0001013,-0.0001013,0,1.781955,0.1213853,-0.1213853,0,6718.849291,410.9644,-410.9644,0,15.2109193,15.423432,-15.423432,0,3475.711291,,,,1958.306535,,,,12.8483,0.006,-0.006,0,568.299,7.459,-7.459,0,5382,5385.2,-5385.2,0,4.4,2,-2,0,1.1659,0.0806182,-0.0806182,0,10/1/2020 13:35,10/29/2021 12:59
2306.01,147284470,PC,21h39m12.19s,324.800775,-44d22m30.98s,-44.375271,7.895,0.032,-0.032,0,4.246,0.034,-0.034,0,2459064.314,0.000951,-0.000951,0,2.9905745,0.0000055,-0.0000055,0,2.0941681,0.0986725,-0.0986725,0,11083.89412,534.92676,-534.92676,0,13.2344892,0.4768243,-0.4768243,0,679.8798081,,,,1302.350213,,,,13.3456,0.006,-0.006,0,694.32,10.798,-10.798,0,5535.6,5576.3,-5576.3,0,4.4,,,0,1.10305,,,0,10/1/2020 13:35,9/12/2024 12:02
2307.01,270219048,PC,22h00m32.63s,330.135944,-29d08m54.92s,-29.148589,21.89,0.062,-0.062,0,-19.943,0.056,-0.056,0,2459062.612,0.000549,-0.000549,0,2.6820061,0.000003,-0.000003,0,1.8238879,0.0629831,-0.0629831,0,8514.966549,509.67606,-509.67606,0,14.1985341,1.319388,-1.319388,0,1028.09463,,,,1444.202267,,,,12.2294,0.008,-0.008,0,470.156,9.488,-9.488,0,5465,5562.2,-5562.2,0,4.4,2,-2,0,1.285,0.0712462,-0.0712462,0,10/1/2020 13:35,4/22/2024 10:08
2308.01,234489976,PC,00h35m55.32s,8.980505,-64d43m20.79s,-64.722442,5.728,0.062,-0.062,0,-3.059,0.052,-0.052,0,2459063.021,0.000602,-0.000602,0,3.86866,0.0000037,-0.0000037,0,2.3101443,0.0537426,-0.0537426,0,8058.077161,294.09613,-294.09613,0,13.9784675,0.7829673,-0.7829673,0,957.9449856,,,,1418.910138,,,,12.2397,0.006,-0.006,0,613.155,14.5875,-14.5875,0,6373.5,6567.6,-6567.6,0,4.2,,,0,1.3337801,0.0649246,-0.0649246,0,10/1/2020 13:35,12/5/2024 16:02
